subject_id,sex,height_cm,weight_kg,body_fat_pct,bench_press_kg,squat_kg,deadlift_kg,resting_hr,vo2max,mile_time_sec
54,M,177.0,83.0,17.1,87.0,118.6,124.7,71,39.0,519
55,F,166.4,64.4,27.4,36.0,66.7,74.2,64,38.1,490
56,M,178.4,88.1,15.5,77.3,84.8,133.1,65,42.9,482
57,F,157.9,49.7,34.6,36.7,54.1,53.7,74,31.0,504
58,F,156.7,49.3,23.0,75.9,102.1,132.2,69,33.7,494
59,M,173.7,77.9,18.8,78.5,96.0,118.2,69,47.9,428
60,M,182.7,87.8,15.5,117.9,150.4,174.8,70,46.9,488
61,M,183.1,83.0,17.6,69.0,88.9,98.6,70,38.2,515
62,F,155.8,58.0,29.2,35.2,61.1,76.9,60,43.0,453
63,M,167.0,62.7,17.1,84.5,100.5,136.9,76,41.1,511
64,F,165.7,65.0,25.5,56.7,87.9,111.7,71,30.1,529
65,M,174.7,83.4,17.2,105.3,140.6,166.9,69,42.5,472
66,F,164.6,69.9,24.5,61.1,93.9,114.2,68,37.5,492
67,F,158.7,52.4,35.6,38.1,58.7,62.2,85,14.2,583
68,M,169.9,81.9,12.7,86.5,100.5,124.5,62,55.4,441
69,F,162.7,63.5,25.7,54.1,97.9,97.4,70,31.3,509
70,F,170.9,79.5,23.5,49.9,74.9,96.5,62,43.7,473
71,M,182.8,91.1,21.8,58.0,95.4,108.3,68,42.9,467
72,F,160.4,60.6,29.8,22.4,44.9,47.5,68,39.5,486
73,F,164.1,64.1,25.7,27.5,49.1,64.2,57,52.7,416
74,M,169.9,68.8,15.0,106.8,126.6,140.5,66,47.6,486
75,F,156.5,55.1,25.6,50.7,69.2,83.3,60,44.3,432
76,F,148.2,42.5,24.9,53.4,82.4,88.3,67,31.7,485
77,F,170.2,70.3,25.7,38.6,72.0,81.3,68,44.4,468
78,F,172.0,73.4,33.2,49.2,87.8,100.9,65,34.5,504
79,M,179.1,89.6,13.0,103.6,133.0,178.9,59,57.8,409
80,M,178.7,89.8,16.7,97.0,108.0,139.3,70,41.3,475
81,M,169.1,74.1,13.4,93.4,124.0,158.9,76,40.8,510
82,F,162.9,53.9,25.6,29.0,56.9,73.6,74,36.5,463
83,M,187.1,94.2,15.7,90.4,123.1,150.3,69,49.8,497
84,M,177.1,83.8,17.1,81.6,106.6,121.4,72,46.2,500
85,M,175.2,71.9,17.5,70.5,92.0,104.1,69,56.9,493
86,F,152.7,45.3,23.9,48.5,69.6,81.4,61,42.8,423
87,M,187.7,92.9,21.3,80.0,119.2,159.2,71,34.3,532
88,M,177.6,82.2,15.1,88.5,121.7,137.9,72,37.1,488
89,M,166.5,73.6,22.3,98.9,121.9,138.4,71,40.1,539
90,M,174.4,75.7,8.6,99.9,123.3,133.5,57,62.0,401
91,M,175.2,68.4,15.4,101.2,131.0,150.0,65,48.7,472
92,M,179.7,77.6,13.0,95.5,117.4,142.1,66,55.3,441
93,F,160.8,60.3,32.9,30.1,54.2,81.2,75,27.3,523
94,M,174.9,78.0,20.2,88.4,119.1,132.1,66,46.2,447
95,M,181.8,81.4,15.6,67.0,88.6,107.2,66,56.6,457
96,F,162.4,62.2,28.3,13.1,39.4,41.6,69,34.0,487
97,M,184.1,91.0,13.2,74.4,94.1,108.3,59,56.6,422
98,M,175.5,78.0,10.0,67.9,90.6,114.1,50,64.7,370
99,M,191.4,110.3,16.3,111.1,146.0,185.2,75,37.7,516
100,M,177.1,76.0,18.6,65.7,93.8,114.8,69,40.1,531
101,M,171.2,71.9,19.9,73.5,106.8,120.5,81,35.8,507
102,F,155.3,58.8,26.5,64.5,103.0,120.8,65,45.6,450
103,M,174.7,83.8,14.0,89.3,109.4,135.9,56,59.9,432
104,F,154.6,42.5,28.3,52.3,68.8,95.5,72,34.8,554
105,F,163.7,60.2,29.8,33.3,52.9,65.9,72,38.1,457
106,M,170.2,69.2,19.1,81.3,107.7,111.4,70,40.3,490
107,F,161.2,57.5,30.7,16.0,48.0,60.0,64,42.9,456
108,M,168.7,78.5,19.3,84.5,97.7,132.2,70,41.2,494
109,F,159.2,65.4,27.8,54.9,84.1,97.8,73,37.2,493
110,F,164.7,58.5,28.3,13.5,25.5,26.4,63,37.6,474
111,M,189.9,103.1,16.1,101.5,138.9,178.8,72,46.2,449
112,F,153.2,51.1,27.4,44.1,67.6,93.9,69,31.5,517
113,M,178.2,79.2,15.3,86.0,97.3,135.8,67,45.3,466
114,F,156.6,47.1,27.6,16.1,43.1,32.4,65,45.2,434
115,M,172.4,78.8,15.5,91.7,126.5,143.4,62,65.6,389
116,M,176.8,82.6,17.3,81.3,104.9,127.2,55,52.4,442
117,M,177.8,95.9,13.4,100.5,129.7,145.0,52,51.1,443
118,F,160.2,58.5,27.1,42.0,79.1,83.8,71,32.4,523
119,F,173.9,75.6,31.1,89.2,131.0,147.5,70,25.9,492
120,F,162.4,57.0,25.0,38.1,61.7,85.5,58,52.0,453
121,M,172.1,76.0,16.7,67.2,90.8,104.2,65,54.9,477
122,M,178.6,86.5,19.9,89.2,121.6,156.9,87,42.5,484
123,M,177.9,79.9,16.0,99.4,119.9,147.4,65,46.7,505
124,M,184.1,93.6,13.0,123.8,157.0,202.5,73,44.7,485
125,M,173.6,77.5,13.0,98.8,132.2,165.4,67,45.3,486
126,F,153.9,52.6,20.5,50.9,73.5,89.6,53,48.2,425
127,F,155.9,63.1,19.9,71.4,104.9,117.1,62,48.3,464
128,M,181.3,80.3,10.7,70.0,102.3,104.2,54,59.2,404
129,M,185.8,93.0,19.3,91.3,105.3,144.4,60,47.8,481
130,F,165.2,73.6,30.9,30.0,59.5,71.6,64,36.9,499
131,F,162.8,64.7,30.2,31.2,56.5,74.5,70,29.0,529
132,F,160.0,58.1,34.0,21.7,36.6,40.3,68,24.0,499
133,M,182.7,92.4,16.6,106.4,146.1,170.4,69,47.6,502
134,M,172.7,74.5,18.6,100.8,112.1,122.0,72,31.1,470
135,M,167.2,69.0,18.9,55.7,72.1,86.5,74,46.0,503
136,F,164.5,58.4,33.4,16.1,48.5,61.4,68,26.0,536
137,F,154.7,50.6,32.4,55.7,82.7,93.6,66,34.5,495
138,F,160.8,60.6,24.8,60.9,87.1,107.2,56,34.2,460
139,M,176.1,91.0,15.4,136.4,173.9,216.8,71,50.0,472
140,M,178.9,89.9,7.2,155.9,199.9,241.2,74,53.2,442
141,M,181.1,94.9,16.9,100.0,132.7,157.7,72,54.9,458
142,F,167.5,63.2,38.2,17.4,59.8,51.4,85,19.0,574
143,M,178.9,81.7,16.5,62.6,80.1,86.4,67,46.7,526
144,F,159.3,50.9,23.7,40.5,81.0,87.2,69,38.5,451
145,M,182.1,85.0,22.5,87.1,106.8,116.8,77,35.8,531
146,M,175.8,82.0,19.2,86.7,96.3,130.5,65,53.0,444
147,M,176.3,81.9,12.0,82.6,95.8,130.5,56,62.0,402
148,M,189.9,104.6,18.0,100.0,129.1,162.0,81,41.7,512
149,F,160.5,67.3,25.1,78.3,93.6,118.5,68,36.0,509
150,F,164.1,67.9,35.9,46.2,79.9,76.4,78,26.3,544
151,F,159.1,55.4,27.3,35.4,45.4,82.7,57,44.4,412
152,M,179.3,90.8,17.0,81.5,102.9,114.4,68,45.0,485
153,F,163.1,66.0,28.0,10.9,30.9,41.5,66,37.4,500
154,M,180.8,91.0,9.0,83.0,108.4,134.2,66,60.6,407
155,F,160.9,59.2,26.8,44.2,81.2,100.4,64,43.2,450
156,F,167.3,77.4,28.3,87.7,117.5,158.6,68,26.4,545
157,M,184.7,94.2,16.0,111.8,119.9,153.3,74,41.8,504
158,M,179.2,89.3,12.8,125.9,148.7,166.8,64,50.3,449
159,M,178.5,81.9,16.0,75.3,109.2,120.5,73,42.4,492
160,M,181.3,90.5,27.0,79.8,93.8,116.7,80,33.2,569
161,F,157.4,55.1,30.2,16.9,55.5,46.8,67,41.2,528
162,F,156.4,52.2,30.2,22.7,49.5,51.2,80,22.0,550
163,M,178.3,95.2,7.3,134.4,179.0,204.9,66,62.8,421
164,M,169.4,68.1,16.1,68.3,92.7,113.1,60,50.6,462
165,F,163.7,73.3,29.5,59.5,102.7,114.6,74,24.7,534
166,M,172.9,74.2,22.3,61.2,90.6,108.8,70,42.9,504
167,M,175.6,81.5,21.6,118.7,134.6,167.6,75,33.8,544
168,F,161.5,65.2,29.5,56.1,83.2,94.1,65,29.3,481
169,M,178.8,82.1,13.5,91.7,118.1,142.1,64,58.2,459
170,M,174.8,79.2,10.0,87.7,122.0,143.7,54,68.8,412
171,M,179.2,77.7,9.3,87.6,99.6,113.4,61,59.8,428
172,M,178.7,88.7,14.3,103.1,133.7,159.2,73,49.4,453
173,F,158.3,59.6,28.9,31.0,46.8,66.1,69,32.3,539
174,F,155.8,51.3,36.4,8.9,32.6,36.5,72,34.6,509
175,F,166.1,61.9,24.7,26.2,39.2,50.5,51,48.1,444
176,F,148.5,43.7,30.0,38.1,66.8,85.6,65,38.4,491
177,M,177.4,86.2,4.7,126.8,155.5,196.8,61,62.4,379
178,M,178.0,77.6,9.6,96.9,113.4,147.7,62,54.9,403
179,F,166.9,61.5,33.6,47.2,65.7,77.7,83,26.1,526
180,M,168.5,74.7,17.0,95.7,123.5,135.3,68,39.3,482
181,F,161.1,58.1,29.1,67.3,100.9,114.6,74,28.1,527
182,M,177.7,84.7,16.8,101.5,120.5,151.1,73,49.7,504
183,M,178.6,86.0,20.4,95.6,120.1,139.3,71,42.7,495
184,F,163.0,71.0,18.8,75.9,108.7,115.6,57,64.8,379
185,F,155.2,50.6,23.5,43.0,80.3,96.9,75,22.7,525
186,F,162.0,63.3,23.0,79.1,92.1,130.8,66,41.9,483
187,F,164.7,68.2,29.6,44.0,80.4,77.3,56,34.8,489
188,M,173.1,71.9,17.5,70.5,82.5,101.8,70,45.0,507
189,F,161.4,51.9,27.6,14.1,23.2,48.8,70,35.4,486
190,F,159.1,62.6,27.3,81.9,103.5,135.9,79,27.1,527
191,M,175.0,83.9,12.2,135.1,166.0,198.5,64,50.0,435
192,F,178.5,81.1,25.7,53.1,80.1,93.9,65,35.7,480
193,M,175.6,83.5,19.0,85.4,108.8,130.6,60,54.9,466
194,M,182.1,93.3,17.6,125.5,154.9,191.2,59,46.5,493
195,F,159.9,47.8,21.4,17.4,45.0,48.5,62,43.3,449
196,M,179.7,85.8,14.0,84.8,92.9,117.3,67,55.2,444
197,F,163.8,68.7,20.9,60.8,85.1,117.2,73,34.3,474
198,M,172.8,77.1,22.4,73.9,105.3,139.6,77,40.5,494
199,F,164.6,59.5,28.7,49.1,60.4,80.8,80,28.7,526
200,M,173.8,78.6,15.1,92.3,106.1,126.5,67,47.3,471
201,M,168.8,73.7,16.3,97.4,129.1,138.8,70,52.0,460
202,F,168.9,71.5,24.7,73.4,105.3,136.3,66,33.0,536
203,F,155.7,58.8,25.3,38.8,74.2,88.5,60,29.0,510
204,M,164.3,68.0,14.2,94.3,127.8,152.7,74,31.1,550
205,M,187.0,95.8,26.8,62.1,76.6,97.6,77,34.5,495
206,M,179.0,81.7,18.8,81.6,106.3,134.7,70,50.4,494
207,F,162.4,51.4,34.4,29.3,48.1,44.3,77,23.8,540
208,F,169.2,70.3,30.3,27.6,35.1,54.8,75,26.9,515
209,F,161.3,54.7,31.7,33.3,44.2,69.4,77,35.0,476
210,F,163.0,54.1,40.0,41.2,62.3,75.8,79,23.9,545
211,M,174.7,74.6,12.5,104.8,142.0,168.1,63,53.3,457
212,F,153.3,42.0,25.2,3.5,27.8,41.7,53,43.2,444
213,F,160.7,57.9,32.1,40.8,66.3,79.0,67,31.7,510
214,F,162.2,59.6,27.4,43.7,55.6,74.2,76,35.3,483
215,F,164.9,61.4,25.5,41.1,60.5,80.6,62,44.7,448
216,M,177.6,90.5,11.9,116.1,146.4,165.7,76,35.9,508
217,F,158.2,56.6,28.3,52.7,85.7,103.8,75,27.3,498
218,F,152.0,52.7,18.1,66.8,94.1,123.2,60,53.4,408
219,F,161.9,63.2,28.3,36.1,72.2,80.3,62,45.7,453
220,M,179.1,81.9,14.9,86.4,103.4,113.0,63,55.1,481
221,M,185.4,93.1,14.2,92.6,116.3,151.3,71,60.2,405
222,F,159.4,63.1,33.6,40.0,69.4,87.7,76,21.0,522
223,F,159.5,48.7,23.7,56.1,73.3,85.9,64,40.7,405
224,M,177.4,82.8,16.9,73.8,84.4,106.3,68,49.6,422
225,M,176.2,86.9,11.9,96.0,118.3,146.2,64,59.2,417
226,F,165.0,60.3,25.1,42.0,77.2,103.0,65,35.9,485
227,F,164.1,71.3,19.9,98.6,126.9,160.5,61,37.3,448
228,M,170.9,79.6,14.6,131.9,150.6,182.2,65,48.1,470
229,M,169.0,62.1,13.6,70.4,83.4,112.2,64,48.8,461
230,M,178.5,81.6,21.9,94.8,103.3,138.1,71,46.4,491
231,M,187.1,91.2,15.3,77.1,94.0,110.9,66,61.2,387
232,M,178.3,84.1,20.3,86.1,108.0,134.6,78,41.0,500
233,M,181.5,86.7,17.4,93.7,127.4,155.7,72,43.9,499
234,F,167.8,71.8,17.6,67.4,97.0,125.2,60,56.8,420
235,M,183.0,86.4,19.1,89.9,110.1,117.5,63,39.8,504
236,M,174.1,78.5,15.5,79.1,102.2,121.8,61,46.3,484
237,F,162.4,53.9,37.6,3.3,13.6,22.9,68,28.1,578
238,M,187.9,94.5,15.1,92.4,129.1,145.5,70,50.4,454
239,F,167.3,64.3,31.6,22.7,46.9,61.5,64,31.2,489
240,M,184.1,91.0,22.5,93.4,112.4,126.3,70,41.4,492
241,F,158.7,56.3,26.5,33.1,39.5,56.8,60,40.7,493
242,F,159.8,58.4,30.2,46.3,57.5,85.2,73,25.3,524
243,M,173.7,77.5,12.8,62.1,66.0,87.8,63,54.2,448
244,F,163.7,56.0,30.4,18.6,45.6,31.1,64,41.9,466
245,F,168.0,73.4,20.3,91.9,124.1,144.0,60,47.0,433
246,M,162.7,64.7,16.8,53.8,76.5,93.4,69,47.7,444
247,F,164.6,52.4,20.7,16.1,45.5,64.1,55,62.0,350
248,M,176.9,87.4,8.6,138.0,165.4,195.4,67,56.8,440
249,M,170.7,81.6,16.9,147.5,184.8,227.1,65,48.4,487
250,F,162.3,63.3,32.4,26.6,43.0,36.9,69,31.4,507
251,M,175.4,79.1,18.0,85.8,110.1,132.2,69,47.7,494
252,M,177.2,86.6,8.4,101.7,120.5,145.5,67,51.3,425
253,M,187.1,104.2,9.7,138.7,169.8,205.2,58,58.8,411
254,F,166.2,63.0,25.3,32.8,36.6,62.0,63,54.1,414
255,M,186.1,87.4,15.2,88.6,105.6,129.5,66,56.2,425
256,M,177.5,88.4,20.7,118.0,133.5,192.6,79,35.8,511
257,F,159.7,61.5,26.1,49.3,85.2,92.8,71,39.9,492
258,F,173.4,71.7,32.0,46.7,69.0,90.0,71,26.4,527
259,M,180.0,89.5,14.1,89.6,124.8,156.2,73,41.9,525
260,F,156.1,54.7,28.9,13.7,34.2,41.3,67,37.0,475
261,M,173.3,72.6,12.8,81.3,108.6,120.9,70,51.0,438
262,F,166.0,60.6,22.4,42.1,60.5,81.1,67,42.6,439
263,F,162.7,59.2,28.3,53.1,76.0,78.8,64,40.4,447
264,M,171.2,64.2,18.0,78.6,100.5,117.4,69,50.4,436
265,F,162.8,64.7,25.9,65.9,97.1,113.5,72,27.9,520
266,F,160.1,65.8,26.5,68.2,91.9,103.9,65,34.2,484
267,M,180.5,85.2,18.2,99.1,130.9,147.1,72,35.8,534
268,M,181.9,84.2,22.6,103.4,130.3,171.2,80,37.0,540
269,M,175.8,77.3,13.1,95.5,114.1,141.7,63,49.0,466
270,F,163.3,67.8,28.5,51.1,78.4,82.5,76,31.6,510
271,M,177.1,83.0,16.0,72.4,110.8,123.1,64,53.4,436
272,F,156.5,58.8,26.0,52.8,77.3,88.6,62,47.8,438
273,M,174.7,75.6,23.7,84.9,110.8,119.9,73,43.6,521
274,F,165.4,75.3,20.3,94.1,130.8,145.1,62,39.9,454
275,F,158.9,67.8,23.9,80.8,109.6,144.9,65,27.6,537
276,M,188.7,95.2,24.3,109.7,149.8,167.1,75,33.4,545
277,M,184.0,96.4,18.1,75.2,114.3,143.1,70,50.3,440
278,F,156.7,51.5,33.6,10.9,32.9,40.0,70,35.9,477
279,M,164.4,59.6,13.7,110.0,142.8,162.8,66,40.0,486
280,M,182.3,96.1,6.6,92.2,136.4,158.0,61,67.5,412
281,F,160.6,61.3,32.4,56.3,85.9,93.5,84,31.4,520
282,F,160.5,41.9,27.5,11.6,24.7,28.9,70,41.1,466
283,F,160.4,54.1,28.1,66.9,96.3,101.5,76,26.6,525
284,F,159.0,55.1,31.3,51.2,81.9,104.6,64,41.4,434
285,F,168.2,69.3,34.1,30.2,47.2,62.7,66,38.7,457
286,F,163.9,57.6,29.5,37.3,59.8,70.6,66,41.5,485
287,M,185.7,96.3,17.9,98.0,132.3,161.5,77,34.2,544
288,F,164.5,63.6,27.2,51.8,75.8,87.4,75,30.7,530
289,F,161.2,56.9,26.2,44.9,61.6,62.3,64,45.9,387
290,F,160.8,58.1,27.8,44.8,63.6,72.6,45,53.0,439
291,F,164.6,64.6,25.6,39.7,65.4,79.5,70,45.7,426
292,M,180.9,91.0,16.8,105.0,127.9,152.0,74,41.0,503
293,F,168.5,73.4,24.2,84.9,101.1,139.7,60,35.5,465
294,M,177.3,74.9,10.6,48.5,60.7,70.4,54,67.5,362
295,M,174.7,84.1,12.3,96.1,117.0,135.0,68,50.1,453
296,M,179.3,87.9,8.8,92.9,123.7,147.1,53,62.5,418
297,F,159.1,63.5,30.0,51.4,79.0,96.9,69,30.2,505
298,M,171.9,72.5,17.3,86.3,102.0,128.4,64,45.1,454
299,F,160.4,52.4,31.1,11.8,19.0,23.1,60,43.0,427
300,F,167.2,57.0,23.0,53.2,79.2,85.4,68,36.4,493
301,F,160.4,72.9,22.9,90.0,125.1,136.1,70,29.1,522
302,F,168.9,70.8,35.3,10.2,39.6,49.3,74,25.9,566
303,M,171.4,74.7,9.6,109.6,130.2,174.6,65,51.4,444
304,M,174.7,76.2,11.6,88.4,106.7,130.1,59,58.6,443
305,F,161.3,55.7,26.1,46.9,71.8,75.2,62,48.9,420
306,M,182.3,87.1,11.7,84.8,100.1,133.3,63,59.4,428
307,M,174.6,79.7,14.2,81.8,114.8,129.2,70,53.0,439
308,M,175.9,84.3,12.5,126.8,152.7,175.9,72,41.8,467
309,M,172.1,73.2,10.2,105.1,132.1,151.2,63,57.7,422
310,F,165.3,74.9,23.4,80.6,127.8,136.7,65,43.4,452
311,F,161.6,61.6,27.0,63.4,90.5,128.2,78,29.4,558
312,F,157.6,54.2,30.2,52.1,92.1,82.5,70,25.5,528
313,M,182.3,89.6,13.2,130.3,167.9,199.9,64,56.4,457
314,F,168.4,72.9,32.7,60.0,102.4,104.9,70,33.1,465
315,F,158.5,58.7,23.1,54.4,79.8,99.9,68,38.1,490
316,F,156.8,58.2,26.1,38.7,60.7,68.7,72,49.8,411
317,M,184.6,95.3,13.4,99.3,128.9,152.8,63,50.6,444
318,M,178.7,81.6,13.3,87.4,108.2,125.1,53,58.9,459
319,F,161.5,62.6,28.4,76.0,100.9,115.5,79,24.3,544
320,F,162.6,56.9,30.1,19.0,44.7,51.6,69,36.4,445
321,M,176.4,86.7,13.7,110.8,144.1,162.8,60,55.5,447
322,M,175.1,77.1,27.9,94.7,112.9,152.5,77,33.2,543
323,F,164.0,65.4,23.9,73.1,100.3,132.2,71,28.8,487
324,F,167.9,71.7,25.8,57.9,97.3,117.9,73,26.2,507
325,F,170.2,76.5,29.4,90.1,117.8,143.0,65,34.7,482
326,F,156.3,52.0,22.9,51.8,81.6,105.6,63,49.3,436
327,F,166.2,68.4,25.1,19.8,28.6,47.8,65,50.4,417
328,F,158.1,58.8,32.1,37.3,66.9,81.7,70,34.8,545
329,M,173.5,77.9,12.1,72.5,81.4,101.6,59,52.4,455
330,M,174.3,87.6,16.3,81.9,106.0,130.4,63,53.9,462
331,F,166.8,79.0,24.8,83.1,105.4,147.1,72,36.8,481
332,F,167.4,68.4,28.5,58.8,88.5,107.9,65,34.9,474
333,M,175.6,78.5,19.2,77.6,106.6,120.7,68,54.3,487
334,M,182.3,87.8,13.9,80.1,95.3,120.3,54,64.0,399
335,F,161.8,65.9,27.0,40.8,65.9,87.1,69,39.6,477
336,F,157.9,49.1,36.8,27.4,41.4,41.2,73,29.9,507
337,M,174.8,80.7,15.0,79.7,105.2,115.4,64,59.6,438
338,F,162.7,63.7,23.0,50.0,82.4,102.4,59,41.2,463
339,M,176.0,87.5,9.3,115.8,145.7,187.6,62,52.8,454
340,M,167.9,72.4,8.5,101.8,124.6,170.9,61,61.8,457
341,M,182.4,79.9,24.1,57.5,65.0,84.6,69,46.1,518
342,M,177.7,80.2,11.1,94.7,124.9,152.1,70,51.9,478
343,M,187.4,100.9,14.5,101.0,119.4,163.0,60,50.3,459
344,F,158.0,47.9,31.1,47.4,67.4,82.6,76,15.1,564
345,F,159.7,68.2,21.0,84.3,117.0,136.9,65,36.0,457
346,M,176.2,70.5,20.3,55.9,66.2,86.2,73,39.6,504
347,F,154.9,47.2,31.8,37.2,57.7,68.6,70,27.5,508
348,F,161.0,58.6,24.7,55.0,88.4,111.5,59,45.4,414
349,M,190.1,95.5,14.9,77.6,87.4,104.0,62,54.2,434
350,M,179.7,90.1,10.5,131.4,155.8,186.7,69,42.8,515
351,M,177.4,79.2,25.3,102.7,131.0,149.8,69,45.2,523
352,F,151.7,52.7,28.1,58.5,86.6,91.6,62,40.4,454
353,M,169.1,68.8,16.2,73.7,103.0,121.3,63,53.6,444
354,F,157.5,56.7,32.3,68.3,87.6,110.9,77,34.1,513
355,F,158.9,54.7,25.3,62.6,94.4,117.2,71,35.0,479
356,F,161.4,62.7,23.8,51.6,73.2,91.7,67,40.8,437
357,M,166.7,65.2,26.4,94.0,114.2,145.4,85,33.1,609
358,M,176.6,83.1,18.4,93.2,122.2,156.6,67,46.7,457
359,M,182.2,92.8,19.2,81.6,103.1,121.0,77,47.0,463
360,F,170.8,78.7,29.7,49.6,73.5,69.7,71,32.9,474
361,F,152.2,45.1,27.6,33.8,54.0,66.7,68,29.5,524
362,F,155.7,54.3,25.9,49.3,80.3,92.0,64,37.2,478
363,F,153.9,56.1,24.4,69.0,82.3,110.2,57,50.4,406
364,M,177.5,80.6,22.3,70.3,96.3,112.9,74,42.1,514
365,M,169.1,72.8,10.9,81.3,105.2,130.2,65,51.7,460
366,M,184.7,100.9,6.3,128.4,160.4,193.6,52,66.0,404
367,M,177.4,84.8,22.3,84.0,97.1,115.7,74,41.8,514
368,M,177.1,80.3,13.9,82.3,101.7,122.6,53,54.0,418
369,M,184.6,101.4,15.6,108.4,119.5,168.2,69,52.4,465
370,F,166.3,62.1,21.3,66.4,92.0,101.5,57,48.6,429
371,M,177.5,86.1,14.3,98.1,122.6,147.3,59,51.1,427
372,M,176.7,85.8,11.8,116.0,143.6,185.9,74,47.8,456
373,M,170.8,75.7,12.2,101.9,135.7,161.2,68,43.8,472
374,M,173.6,81.3,18.2,103.1,130.7,171.6,67,42.6,475
375,M,190.1,103.3,16.9,113.7,144.5,182.3,69,45.4,508
376,M,180.3,100.4,11.0,148.0,173.9,221.4,56,55.6,460
377,M,177.8,86.5,17.4,93.2,128.5,137.0,69,46.9,494
378,F,160.7,49.9,35.8,1.1,20.2,28.2,73,27.2,479
379,M,178.2,95.4,15.7,125.5,166.1,196.7,81,40.5,509
380,M,170.7,75.0,16.1,93.3,96.0,121.3,62,59.1,456
381,M,170.5,72.5,12.3,86.8,113.2,142.4,58,55.6,425
382,M,178.0,86.1,13.1,119.6,148.5,178.8,73,44.2,518
383,F,171.0,73.7,32.9,25.8,41.2,47.1,78,28.1,515
384,M,192.8,92.6,18.7,77.8,100.6,116.2,68,53.6,478
385,F,161.3,51.8,29.5,7.1,29.1,33.0,63,46.7,430
